,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun
235,12.4,4.8,38,22.5,1,E10,0,0,0
236,25.2,5.0,55,22.5,9,E10,0,0,0
237,14.3,4.8,36,22.5,10,E10,0,0,0
238,11.8,4.6,40,22.5,2,E10,0,0,0
239,16.9,4.5,48,22.5,9,E10,0,0,1
240,12.4,4.6,55,22.5,11,E10,0,0,1
241,17.4,4.4,36,22.5,12,E10,0,0,1
242,9.2,5.7,33,22.5,8,E10,0,1,0
243,12.3,5.8,54,22.5,10,E10,0,1,0
244,13.0,5.9,32,22.5,10,E10,0,0,0
245,11.8,6.1,16,22.5,6,E10,0,1,0
246,13.0,5.7,37,22.5,11,E10,0,1,0
247,12.3,5.0,42,22.5,10,E10,0,0,0
248,12.3,5.2,57,22.5,15,E10,0,0,1
249,12.5,4.3,57,22.5,16,E10,0,0,1
250,31.5,4.1,30,22.5,16,E10,0,0,1
251,11.8,4.4,42,22.5,8,E10,0,0,0
252,24.9,4.5,53,22.5,14,E10,0,0,0
253,17.0,3.9,46,22.5,14,E10,0,0,1
254,2.0,8.1,20,22.5,14,E10,0,0,0
255,11.8,4.4,33,22.5,8,E10,0,0,0
256,7.4,5.0,31,22.5,12,E10,0,0,0
257,12.4,4.7,55,22.5,14,E10,0,0,1
258,2.0,6.0,22,22.5,14,E10,0,0,0
259,14.0,5.0,41,22.5,8,E10,0,0,0
260,25.7,5.0,45,22.5,7,E10,0,0,0
261,24.5,3.9,50,21.929521276595743,15,E10,0,0,1
262,11.8,4.5,28,22.5,12,E10,0,0,0
263,4.1,5.4,24,22.5,13,E10,0,0,0
264,4.2,5.6,29,22.0,17,E10,0,0,0
265,4.2,3.9,29,22.0,18,E10,0,0,1
266,16.0,4.0,40,22.0,10,E10,0,0,0
267,22.9,4.0,29,21.929521276595743,21,E10,0,0,0
268,16.0,3.8,42,21.929521276595743,8,E10,0,0,0
269,15.4,4.5,50,22.0,14,E10,0,0,0
270,16.0,3.8,41,22.0,12,E10,0,0,0
271,4.2,5.6,32,22.0,18,E10,0,0,0
272,101.9,5.2,75,22.0,18,E10,0,0,0
273,93.9,4.8,88,23.0,18,E10,1,0,1
274,25.7,4.9,50,22.0,10,SP98,0,1,0
275,16.0,4.1,40,22.0,10,SP98,0,0,0
276,16.1,4.5,32,22.0,19,SP98,0,0,0
277,16.0,4.4,40,22.0,7,SP98,1,1,0
278,16.0,4.5,41,22.0,11,SP98,0,0,0
279,24.7,4.5,26,22.0,10,SP98,0,0,0
280,16.0,3.9,42,22.0,8,SP98,0,0,0
281,15.4,4.6,43,22.0,16,SP98,0,0,0
282,16.0,3.8,40,22.0,8,SP98,0,0,0
283,32.1,4.5,50,22.0,16,SP98,0,0,0
284,25.9,4.4,40,22.0,14,SP98,0,0,0
285,48.6,4.3,44,22.0,12,SP98,0,0,0
286,37.2,4.0,45,22.0,20,SP98,0,0,1
287,28.8,3.9,35,22.0,15,SP98,0,0,1
288,6.7,5.0,30,22.0,17,SP98,0,0,0
289,7.4,4.1,25,22.0,18,SP98,0,0,1
290,17.3,4.1,22,22.0,25,SP98,0,0,1
291,6.6,5.6,43,22.0,16,SP98,0,0,0
292,14.3,4.1,26,22.0,20,SP98,0,0,0
293,13.3,4.6,33,22.0,18,SP98,0,0,0
294,8.3,4.9,26,22.0,23,SP98,0,0,0
295,12.7,4.5,39,22.0,27,SP98,0,0,1
296,16.5,4.1,47,22.0,14,SP98,0,0,0
297,20.6,4.1,38,22.0,21,SP98,0,0,0
298,16.3,4.5,58,22.0,16,SP98,0,0,0
299,18.7,4.2,65,25.0,18,SP98,1,0,1
300,36.5,3.9,54,23.0,18,SP98,0,0,1
301,19.0,5.0,35,22.0,15,SP98,1,0,1
302,16.6,4.4,46,22.0,5,SP98,1,0,0
303,29.9,4.5,32,22.0,18,SP98,1,0,0
304,16.0,3.8,42,22.0,11,SP98,0,0,0
